wav,spec
5803.7,1.4368110916148394e-13 
5804.4,1.2970206495303985e-13 
5805.1,1.2703895334507746e-13 
5805.8,1.2665335563027243e-13 
5806.5,1.3935803473324004e-13 
5807.2,1.24517546364354e-13 
5807.9,1.193176745567382e-13 
5808.6,1.3578115096652047e-13 
5809.3,1.2600498370479086e-13 
5810.0,1.4145949407590795e-13 
5810.7,1.3162203271782607e-13 
5811.4,1.2299545952728089e-13 
5812.1,1.2500715487752689e-13 
5812.8,1.2251113245004287e-13 
5813.5,1.2306778908533575e-13 
5814.2,1.2455686108006224e-13 
5814.9,1.35335079525077e-13 
5815.6,1.239367882074031e-13 
5816.3,1.3143909330886146e-13 
5817.0,1.300161238919893e-13 
5817.7,1.28806850905133e-13 
5818.4,1.3013621864828077e-13 
5819.1,1.396246000187972e-13 
5819.8,1.334315893233352e-13 
5820.5,1.436135910318028e-13 
5821.2,1.361352803070352e-13 
5821.9,1.3668451106507767e-13 
5822.6,1.3701638673150162e-13 
5823.3,1.3237106289609602e-13 
5824.0,1.3394489312106665e-13 
5824.7,1.347067605094228e-13 
5825.4,1.3510187384574564e-13 
5826.1,1.3844232788489628e-13 
5826.8,1.3562534283739238e-13 
5827.5,1.3885419382133181e-13 
5828.2,1.2562257549610785e-13 
5828.9,1.2659612374771802e-13 
5829.6,1.4371323114989564e-13 
5830.3,1.4324052353544308e-13 
5831.0,1.33553359558824e-13 
5831.7,1.4482377062249292e-13 
5832.4,1.333576623020158e-13 
5833.1,1.2709041578519875e-13 
5833.8,1.2727807780457719e-13 
5834.5,1.2527357755811123e-13 
5835.2,1.2581568923942423e-13 
5835.9,1.3835024329938698e-13 
5836.6,1.3303393185630813e-13 
5837.3,1.2708612463306197e-13 
5838.0,1.2425869230160185e-13 
5838.7,1.2663682837069649e-13 
5839.4,1.4194169581337078e-13 
5840.1,1.3701943778518297e-13 
5840.8,1.436710887381907e-13 
5841.5,1.3510362193696289e-13 
5842.2,1.2796935522998186e-13 
5842.9,1.2681350898072106e-13 
5843.6,1.331314564690018e-13 
5844.3,1.257658894638898e-13 
5845.0,1.442013187271873e-13 
5845.7,1.322373607879954e-13 
5846.4,1.3416294931937653e-13 
5847.1,1.4398729810228766e-13 
5847.8,1.3535762195612921e-13 
5848.5,1.3435726094921347e-13 
5849.2,1.2534135681217828e-13 
5849.9,1.2433491872069883e-13 
5850.6,1.3450347011076407e-13 
5851.3,1.4182879082750824e-13 
5852.0,1.4213279033615515e-13 
5852.7,1.223740479827937e-13 
5853.4,1.2872284336509304e-13 
5854.1,1.266501394435427e-13 
5854.8,1.3943784875765566e-13 
5855.5,1.258912856170806e-13 
5856.2,1.376638940441382e-13 
5856.9,1.2085657996248426e-13 
5857.6,1.3432261503095684e-13 
5858.3,1.253465788940317e-13 
5859.0,1.1957730820456096e-13 
5859.7,1.269863612735395e-13 
5860.4,1.3422812982762323e-13 
5861.1,1.2165357400886409e-13 
5861.8,1.3862368966033265e-13 
5862.5,1.319104953423841e-13 
5863.2,1.329814088145829e-13 
5863.9,1.323449556503411e-13 
5864.6,1.2293122260478076e-13 
5865.3,1.340026381755868e-13 
5866.0,1.2349953406639765e-13 
5866.7,1.3150964717065826e-13 
5867.4,1.3282845159383604e-13 
5868.1,1.2459902907871316e-13 
5868.8,1.4143942489787818e-13 
5869.5,1.260668021363936e-13 
5870.2,1.310529478244937e-13 
5870.9,1.3480002810137687e-13 
5871.6,1.314343490224883e-13 
5872.3,1.444921052879639e-13 
5873.0,1.3378966656009523e-13 
5873.7,1.3408922297038824e-13 
5874.4,1.431992464582171e-13 
5875.1,1.3080821605325058e-13 
5875.8,1.234197473353715e-13 
5876.5,1.3044761855754215e-13 
5877.2,1.3018805890471767e-13 
5877.9,1.2874347118934343e-13 
5878.6,1.2068737322862643e-13 
5879.3,1.2844166051648072e-13 
5880.0,1.2973603975939413e-13 
5880.7,1.3101576594327413e-13 
5881.4,1.3172488676467292e-13 
5882.1,1.316122945297817e-13 
5882.8,1.427068342922514e-13 
5883.5,1.3747952413648661e-13 
5884.2,1.3675032851706946e-13 
5884.9,1.2317756647613764e-13 
5885.6,1.3666863423386307e-13 
5886.3,1.3138294746064791e-13 
5887.0,1.2213139964249473e-13 
5887.7,1.2006059779599946e-13 
5888.4,1.1784323753463933e-13 
5889.1,1.3226983479358828e-13 
5889.8,1.0693646041655306e-13 
5890.5,1.127744888132605e-13 
5891.2,1.0312388047494059e-13 
5891.9,1.0796112137725968e-13 
5892.6,1.108710250088662e-13 
5893.3,1.0666733159274921e-13 
5894.0,1.1393886550209779e-13 
5894.7,1.1143008049246781e-13 
5895.4,1.2362509152656764e-13 
5896.1,1.1193148195915324e-13 
5896.8,1.0537634221083293e-13 
5897.5,1.0561797629482486e-13 
5898.2,1.1648829398818444e-13 
5898.9,1.1663857489412248e-13 
5899.6,1.1637096886396866e-13 
5900.3,1.2612802380062682e-13 
5901.0,1.2102911707852545e-13 
5901.7,1.3086016996621774e-13 
5902.4,1.323983708291505e-13 
5903.1,1.277670481673215e-13 
5903.8,1.283479017217515e-13 
5904.5,1.2668250949523776e-13 
5905.2,1.2627360120211846e-13 
5905.9,1.2729469746915293e-13 
5906.6,1.4190105060370377e-13 
5907.3,1.3796175802191907e-13 
5908.0,1.240958553082758e-13 
5908.7,1.3422791154361385e-13 
5909.4,1.271557705331084e-13 
5910.1,1.3381220829162685e-13 
5910.8,1.4475059823111996e-13 
5911.5,1.2523177314490162e-13 
5912.2,1.258515848826984e-13 
5912.9,1.3316085359873604e-13 
5913.6,1.3920283663591716e-13 
5914.3,1.3443890152678048e-13 
5915.0,1.3405397222714063e-13 
5915.7,1.3191521304185636e-13 
5916.4,1.3891298296675479e-13 
5917.1,1.2517226225915996e-13 
5917.8,1.330969495601145e-13 
5918.5,1.4021314289951953e-13 
5919.2,1.4143899977857101e-13 
5919.9,1.2632188075871117e-13 
5920.6,1.2803666342261503e-13 
5921.3,1.359287545705344e-13 
5922.0,1.390649097643778e-13 
5922.7,1.3335678253582811e-13 
5923.4,1.2991838304030235e-13 
5924.1,1.458517146414459e-13 
5924.8,1.4573425490560616e-13 
5925.5,1.456314605768523e-13 
5926.2,1.4647080234638239e-13 
5926.9,1.2857961980741061e-13 
5927.6,1.4589176393603147e-13 
5928.3,1.4471903179131434e-13 
5929.0,1.2850563824146602e-13 
5929.7,1.2700226432878186e-13 
5930.4,1.2391908883935717e-13 
5931.1,1.2386527862896313e-13 
5931.8,1.4164782656420812e-13 
5932.5,1.4238839705177153e-13 
5933.2,1.4272561851323377e-13 
5933.9,1.3417313151412895e-13 
5934.6,1.3810757843139223e-13 
5935.3,1.3399266712614221e-13 
5936.0,1.444574602141413e-13 
5936.7,1.312525778131947e-13 
5937.4,1.3731030010982528e-13 
5938.1,1.3628308234433512e-13 
5938.8,1.3518475116711252e-13 
5939.5,1.3889733431684492e-13 
5940.2,1.4640273959520096e-13 
5940.9,1.46934632877238e-13 
5941.6,1.3878643171715501e-13 
5942.3,1.3030051851417889e-13 
5943.0,1.314746239090527e-13 
5943.7,1.2699406998106467e-13 
5944.4,1.2712043541486187e-13 
5945.1,1.3575268992712e-13 
5945.8,1.3566801713632396e-13 
5946.5,1.4074253773047748e-13 
5947.2,1.2700374366168974e-13 
5947.9,1.4555915813813328e-13 
5948.6,1.3839653358661513e-13 
5949.3,1.3664636434365833e-13 
5950.0,1.3575984305201004e-13 
5950.7,1.2906708979552486e-13 
5951.4,1.374436278020901e-13 
5952.1,1.379954324991222e-13 
5952.8,1.431525168142524e-13 
5953.5,1.4354875340823493e-13 
5954.2,1.3470614346852207e-13 
5954.9,1.3462375072790822e-13 
5955.6,1.2845787302347359e-13 
5956.3,1.3509333896673107e-13 
5957.0,1.430548214314557e-13 
5957.7,1.2718931401006354e-13 
5958.4,1.2851045788868762e-13 
5959.1,1.3481060435226128e-13 
5959.8,1.2882270057950446e-13 
5960.5,1.3913665368534902e-13 
5961.2,1.2766185741687472e-13 
5961.9,1.3609226562826202e-13 
5962.6,1.2788086685087685e-13 
5963.3,1.4130860041729445e-13 
5964.0,1.3738063804702133e-13 
5964.7,1.3697876001794176e-13 
5965.4,1.3102651410352903e-13 
5966.1,1.2895955991002466e-13 
5966.8,1.380521497900573e-13 
5967.5,1.4756205343345946e-13 
5968.2,1.299447020670703e-13 
5968.9,1.4028532195319366e-13 
5969.6,1.4136863656231386e-13 
5970.3,1.491383020122547e-13 
5971.0,1.3815505150898187e-13 
5971.7,1.4854684080700417e-13 
5972.4,1.3895077759303055e-13 
5973.1,1.3442279453780807e-13 
5973.8,1.4172742226698154e-13 
5974.5,1.3711954928472343e-13 
5975.2,1.468842742112874e-13 
5975.9,1.305649990776667e-13 
5976.6,1.3483767486555983e-13 
5977.3,1.3296597155270757e-13 
5978.0,1.2809813582391015e-13 
5978.7,1.3445986849859724e-13 
